21, 5, 5 
1.3249,1.3286,1.3166,1.3248,19840
1.3246,1.3517,1.3223,1.3460,22200
1.3246,1.3517,1.3223,1.3460,22200
1.3461,1.3495,1.3365,1.3487,18564
1.3461,1.3495,1.3365,1.3487,18564
1.3581,1.3357,1.3416,1.3416,14358
1.3581,1.3357,1.3416,1.3416,14358
1.3415,1.3418,1.3227,1.3271,19858
1.3415,1.3418,1.3227,1.3271,19858
1.3273,1.3308,1.3147,1.3279,18555
1.3273,1.3308,1.3147,1.3279,18555
1.3280,1.3335,1.3126,1.3168,17296
1.3280,1.3335,1.3126,1.3168,17296
1.3167,1.3176,1.3092,1.3175,6921
1.3167,1.3176,1.3092,1.3175,6921
1.3189,1.3392,1.3126,1.3369,8854
1.3189,1.3392,1.3126,1.3369,8854
1.3368,1.3380,1.3226,1.3259,17073
1.3368,1.3380,1.3226,1.3259,17073
1.3258,1.3297,1.3146,1.3226,18444
1.3258,1.3297,1.3146,1.3226,18444
1.3227,1.3268,1.3126,1.3185,18979
1.3227,1.3268,1.3126,1.3185,18979
1.3184,1.3197,1.3017,1.3025,15909
1.3184,1.3197,1.3017,1.3025,15909
1.3058,1.3059,1.2888,1.2922,17617
1.3058,1.3059,1.2888,1.2922,17617
1.2920,1.2993,1.2897,1.2946,16494
1.2920,1.2993,1.2897,1.2946,16494
1.2947,1.3037,1.2885,1.3005,18066
1.2947,1.3037,1.2885,1.3005,18066
1.3004,1.3160,1.2979,1.3144,17218
1.3004,1.3160,1.2979,1.3144,17218
1.3246,1.3247,1.2999,1.3034,17979
1.3246,1.3247,1.2999,1.3034,17979
1.3035,1.3166,1.2964,1.3148,22422
1.3035,1.3166,1.2964,1.3148,22422
1.3149,1.3340,1.3120,1.3268,22620
1.3149,1.3340,1.3120,1.3268,22620
1.3269,1.3384,1.3191,1.3228,19934
1.3269,1.3384,1.3191,1.3228,19934
1.3229,1.3328,1.3218,1.3265,12171
